epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,575.183,1.06701,0.62899,0.89085,0.93013,0.89806,0.92642,0.56102,1.27276,0.65341,0.97501,0.000742625,0.000742625,0.000742625
43,593.221,1.06629,0.62457,0.88505,0.93235,0.95862,0.9413,0.56986,1.20241,0.64758,0.96099,0.00073025,0.00073025,0.00073025
44,605.418,1.10539,0.63212,0.903,0.94016,0.95625,0.94712,0.57453,1.30115,0.69429,0.98765,0.000717875,0.000717875,0.000717875
45,617.091,1.07965,0.64709,0.8951,0.94032,0.95548,0.96007,0.58132,1.31537,0.69958,0.98555,0.0007055,0.0007055,0.0007055
46,628.878,1.04185,0.62631,0.8929,0.94365,0.9574,0.9631,0.5866,1.25729,0.683,0.97029,0.000693125,0.000693125,0.000693125
47,640.809,1.05504,0.61748,0.88235,0.93746,0.905,0.94001,0.54101,1.28597,0.69123,0.96868,0.00068075,0.00068075,0.00068075
48,653.302,1.07067,0.61982,0.87985,0.93117,0.88457,0.93709,0.55228,1.19407,0.66725,0.95985,0.000668375,0.000668375,0.000668375
49,671.583,1.08654,0.6303,0.89662,0.91509,0.88146,0.93198,0.55504,1.17323,0.67133,0.96671,0.000656,0.000656,0.000656
50,684.752,1.07716,0.62843,0.89232,0.83356,0.90119,0.92571,0.53393,1.29669,0.69306,0.99,0.000643625,0.000643625,0.000643625
51,696.588,1.10952,0.63864,0.89801,0.87093,0.91185,0.94552,0.56757,1.19667,0.66318,0.96687,0.00063125,0.00063125,0.00063125
52,708.551,1.05647,0.64139,0.89551,0.81178,0.90312,0.92591,0.51585,1.28979,0.69042,0.97616,0.000618875,0.000618875,0.000618875
53,720.115,1.06254,0.61665,0.8894,0.84203,0.94032,0.93081,0.50798,1.28301,0.68211,0.97686,0.0006065,0.0006065,0.0006065
54,732.12,1.03284,0.60026,0.87112,0.86087,0.91163,0.90794,0.48032,1.33091,0.68137,0.98356,0.000594125,0.000594125,0.000594125
55,744.016,1.04611,0.60654,0.88455,0.93601,0.94161,0.93999,0.49319,1.38228,0.6789,0.99608,0.00058175,0.00058175,0.00058175
56,756.188,1.05601,0.59612,0.87702,0.94049,0.94901,0.94962,0.55089,1.28851,0.6749,0.99511,0.000569375,0.000569375,0.000569375
57,768.221,1.06031,0.60924,0.88589,0.90518,0.96271,0.94394,0.55204,1.22484,0.65155,0.98228,0.000557,0.000557,0.000557
58,780.107,1.01946,0.58918,0.87977,0.87324,0.88648,0.90741,0.50025,1.3064,0.67236,0.98888,0.000544625,0.000544625,0.000544625
59,791.895,1.05538,0.6071,0.88881,0.87624,0.89245,0.92086,0.51042,1.27452,0.66444,0.9777,0.00053225,0.00053225,0.00053225
60,807.477,1.04338,0.59741,0.88023,0.88731,0.952,0.93765,0.55161,1.19343,0.62129,0.96116,0.000519875,0.000519875,0.000519875
61,825.995,1.05338,0.59981,0.88562,0.88916,0.95539,0.93815,0.57329,1.15681,0.61819,0.95676,0.0005075,0.0005075,0.0005075
62,844.561,1.03585,0.59263,0.87461,0.94013,0.90025,0.94236,0.55816,1.22134,0.65934,0.9673,0.000495125,0.000495125,0.000495125
63,863.278,1.061,0.60644,0.87608,0.90572,0.85171,0.92773,0.54992,1.19484,0.64209,0.95669,0.00048275,0.00048275,0.00048275
64,881.417,1.05444,0.60079,0.89979,0.93241,0.90414,0.94842,0.57744,1.12772,0.62526,0.94523,0.000470375,0.000470375,0.000470375
65,897.404,1.03774,0.58785,0.87964,0.92806,0.93847,0.96147,0.57749,1.17721,0.62848,0.95314,0.000458,0.000458,0.000458
66,913.872,1.0177,0.5841,0.8782,0.92403,0.9613,0.95535,0.54751,1.27473,0.63442,0.96788,0.000445625,0.000445625,0.000445625
67,926.342,1.0317,0.58911,0.87356,0.92124,0.95723,0.94431,0.56458,1.18044,0.61906,0.95471,0.00043325,0.00043325,0.00043325
68,938.409,1.0165,0.58117,0.89188,0.9395,0.9625,0.94984,0.56858,1.12997,0.58536,0.94761,0.000420875,0.000420875,0.000420875
69,950.66,0.98887,0.56564,0.87303,0.92838,0.94316,0.93746,0.55045,1.213,0.59717,0.96101,0.0004085,0.0004085,0.0004085
70,962.892,1.00511,0.57837,0.86995,0.92941,0.9434,0.93805,0.5396,1.27628,0.60539,0.97372,0.000396125,0.000396125,0.000396125
71,975.353,1.02204,0.57159,0.88169,0.94278,0.96712,0.95266,0.57322,1.1931,0.59202,0.96483,0.00038375,0.00038375,0.00038375
72,987.493,1.02078,0.57913,0.87696,0.93989,0.97004,0.96555,0.56026,1.25397,0.59925,0.97537,0.000371375,0.000371375,0.000371375
73,999.58,1.00617,0.56502,0.87161,0.94399,0.97004,0.96498,0.5532,1.30503,0.60441,0.98517,0.000359,0.000359,0.000359
74,1013.11,1.01616,0.56913,0.88211,0.94352,0.9662,0.96415,0.56487,1.25015,0.59777,0.97731,0.000346625,0.000346625,0.000346625
75,1031.56,0.99096,0.56026,0.86931,0.94338,0.96653,0.96427,0.57605,1.21047,0.59816,0.97609,0.00033425,0.00033425,0.00033425
76,1047.24,0.99395,0.55006,0.88069,0.94091,0.96418,0.95748,0.56969,1.2885,0.61256,0.98682,0.000321875,0.000321875,0.000321875
77,1059.39,0.982,0.5544,0.8637,0.93947,0.96347,0.95486,0.57326,1.30013,0.60919,0.98347,0.0003095,0.0003095,0.0003095
78,1071.7,0.97741,0.5503,0.87096,0.93556,0.95981,0.96111,0.57292,1.22762,0.59324,0.96628,0.000297125,0.000297125,0.000297125
79,1084,0.99889,0.55823,0.88061,0.94059,0.96074,0.95492,0.54767,1.21699,0.59928,0.9668,0.00028475,0.00028475,0.00028475
80,1096.12,1.02253,0.56925,0.86619,0.94464,0.9542,0.94878,0.54206,1.29782,0.60741,0.98664,0.000272375,0.000272375,0.000272375
81,1108.08,0.98964,0.55877,0.88449,0.94502,0.95866,0.94884,0.53932,1.30227,0.61058,0.98872,0.00026,0.00026,0.00026
82,1120.2,0.95389,0.57117,0.87446,0.94895,0.9585,0.95122,0.55935,1.28035,0.61339,0.98679,0.000247625,0.000247625,0.000247625
83,1132.24,0.99956,0.55773,0.87353,0.94545,0.95908,0.95747,0.56257,1.27899,0.614,0.98581,0.00023525,0.00023525,0.00023525
84,1144.47,1.02189,0.56486,0.87708,0.9416,0.95548,0.95618,0.57266,1.24589,0.59945,0.97776,0.000222875,0.000222875,0.000222875
